register_number,car_make,car_model,car_model_year,mile_age,tire_size,color,car_VIN
LET331,Suzuki,Sidekick,1992,220135,16,Orange,JTDKTUD32ED782524
CQF452,Cadillac,XLR,2008,47277,20,Mauv,2HNYD18201H812926
YWK632,Volvo,S40,2000,205651,16,Teal,WAUHFBFL2AN837669
YSA307,Plymouth,Neon,1995,146183,19,Purple,WAUAFAFL6EN531432
AZD769,Nissan,Xterra,2005,219374,14,Violet,2G4G15GV6B9377267
HYK602,Ford,GT500,2007,194324,19,Mauv,5N1AR2MM8EC585592
OLU806,Pontiac,Sunfire,2001,95818,14,Red,JN8AZ2KR5AT626293
VVO408,Jeep,Cherokee,1997,8577,16,Puce,2HNYD18296H493193
FRS795,Ford,F-Series,1989,277799,17,Maroon,JN1AY1AP2CM392039
NMJ802,Mitsubishi,Truck,1988,83963,21,Crimson,WAUVVAFRXAA304867
EQK570,Oldsmobile,Intrigue,1998,245107,16,Turquoise,YV426MDA1F2488516
UQM472,Chevrolet,Express 3500,2006,107579,14,Violet,1B3AZ6JZ1AV698652
YOV678,Eagle,Vision,1997,94043,22,Fuscia,WAULT54B82N322823
GSE673,Dodge,Ram Van 1500,1997,163324,20,Violet,KMHCT4AE3FU899889
FVY962,Mercedes-Benz,SLR McLaren,2007,51301,20,Red,WP0CB2A82CS545665
TEA947,Suzuki,Forenza,2004,173983,19,Purple,5GADV33W97D190583
NXM289,Isuzu,Rodeo,2004,213353,14,Violet,WAUMF98K59A350142
VEG826,Volkswagen,GTI,1986,53892,22,Khaki,5UXWY3C53F0656888
IUR140,Audi,80,1990,251307,17,Purple,WVWED7AJ1CW819210
ZHN729,Cadillac,Seville,2001,52345,14,Turquoise,1N4AB7AP6DN095665
TRS804,Chrysler,300,2007,24879,17,Yellow,1G6DJ8EG2A0068534
CIB356,Subaru,Legacy,2012,218734,22,Mauv,4T1BF1FK6CU098529
TYO003,Ford,F250,2007,245831,17,Purple,JTJBC1BA3A2334876
LBX715,Audi,100,1989,293914,18,Aquamarine,SCBGT3ZA0DC714494
YEJ392,Mitsubishi,Diamante,2003,271665,19,Red,WBA6B2C59ED981952
EWP507,Chrysler,PT Cruiser,2006,98830,19,Green,5UXFA93525L607556
SWE564,Volkswagen,GTI,2000,23091,14,Turquoise,4T1BK1EB7FU362696
LPI790,Chevrolet,Avalanche 2500,2004,22637,22,Yellow,WAUDT74F35N234222
FQK205,Chevrolet,Blazer,1996,125632,18,Yellow,1FTMF1CW2AF829024
NUR159,Dodge,Dakota,1997,45246,21,Crimson,WA1CMBFP0FA797770
BNQ742,GMC,Savana 1500,2011,109404,22,Mauv,1D7RV1GP0AS462054
BWH942,BMW,Z3,2002,26876,21,Mauv,1D7RB1GT7AS714288
FEF808,Dodge,Ram 1500,2008,67548,18,Purple,JN8AS5MT3DW053993
KIT616,GMC,2500,1995,213857,18,Blue,WAUKF78E15A693532
OTS171,Nissan,Quest,1994,163713,22,Red,WBAXG5C59DD776332
LNX865,Subaru,Loyale,1994,35927,19,Blue,WBABS53431E137823
CSW115,Lincoln,Town Car,1998,48484,18,Violet,JH4DC538X6S594471
XHX445,Audi,A4,2004,133443,20,Green,3VW4T7AT2EM074645
SZI993,Chevrolet,2500,1997,45403,17,Blue,5NPDH4AE8DH024499
NVV131,Toyota,Tacoma,2000,298423,22,Pink,3VW1K7AJ5EM898191
BKF396,Ford,Falcon,1967,187592,20,Turquoise,5J8TB3H56FL493474
CMX295,Lexus,IS F,2010,287226,22,Red,2LMHJ5AR6AB123392
WJS088,Ram,3500,2011,136610,17,Blue,WBAYB6C59DD018967
WKV557,GMC,1500 Club Coupe,1993,56081,15,Green,3VW467AT6DM355241
PQY016,Volkswagen,Jetta,1991,127647,17,Crimson,WBABS53422E022633
EEV664,Plymouth,Voyager,1996,262883,17,Aquamarine,1G6DP5E3XD0971464
FLV577,Nissan,240SX,1997,267161,20,Maroon,1FBNE3BL2CD643691
AOG827,Infiniti,IPL G,2011,19251,19,Yellow,WBADW3C52CE401465
HAC085,Mercedes-Benz,SLK-Class,1999,180408,18,Indigo,WBAKF9C54DE740479
JXZ014,Suzuki,Daewoo Lacetti,2006,44929,18,Maroon,5TDDK3DC1BS527112
KPR816,Audi,S4,2004,221731,21,Pink,3GTU2YEJ8BG912188
PRU786,Chevrolet,Caprice Classic,1996,257583,17,Blue,KM8JT3AB2BU181820
ALI170,Ferrari,F430,2006,27052,22,Puce,1FTEW1E89AF983412
HZR242,GMC,Yukon,1999,8476,15,Mauv,2FMHK6CC0AB003964
WUV912,Dodge,Ram Van 3500,1997,208349,14,Blue,5NPDH4AE0DH166118
GBE934,Spyker,C8,2005,184714,21,Indigo,WP0AA2A88FK210019
CLA468,Lincoln,Continental,1996,60633,22,Teal,SCFFDABE7BG831486
QPP489,Buick,Riviera,1988,238888,15,Green,WBAVT73538F540414
TUM017,Pontiac,Sunfire,1997,273765,15,Goldenrod,3GYFNFE37FS947081
KNT525,Mercury,Milan,2011,174154,20,Teal,WAURFAFR2AA353639
JLP372,Ford,Crown Victoria,1999,120835,20,Red,1FTEW1CM0CF474246
HUK876,BMW,8 Series,1992,258785,20,Aquamarine,WAUAH94F77N567395
CDR172,Audi,S6,2008,29699,14,Maroon,3C4PDCEG8CT691571
QTD439,Nissan,Altima,2012,208605,14,Puce,5N1AN0NU0EN104818
UXQ310,Eagle,Talon,1997,237271,15,Fuscia,1N6AA0CA1AN921800
GFE302,Aston Martin,V8 Vantage,2008,179624,22,Puce,TRUB3AFK1C1819425
XOO610,Audi,riolet,1994,103390,16,Blue,WAUGL68E95A216260
DZI789,Mitsubishi,Galant,1998,297756,20,Green,WAUHGBFC6EN597321
CBF952,Ford,Thunderbird,1992,215162,15,Blue,WAUVT58E95A985052
KOU960,Mercury,Grand Marquis,1999,255212,18,Orange,5NPDH4AE7CH066080
TJU600,Ford,Econoline E250,1993,45373,17,Mauv,3GYFNGE33ES236806
LNO275,Toyota,Corolla,2005,182949,14,Puce,JN8AS5MT8DW276675
SPL788,Honda,Civic Si,2003,7480,19,Pink,5GADV23W27D492937
SFS527,Lamborghini,Gallardo,2005,70399,14,Maroon,JTHKD5BH8B2432743
NVD822,Honda,Insight,2004,8043,21,Indigo,WAUFEAFM8DA697166
ROE160,Mercedes-Benz,W201,1993,82792,17,Indigo,5J6TF1H55EL231901
JOY958,Pontiac,Bonneville,1991,232389,15,Crimson,JN8CS1MU3FM074917
FVX518,Buick,Estate,1990,132347,18,Blue,1G6DJ5E3XD0144484
YWR116,Chevrolet,Express 1500,2004,240814,20,Blue,JH4NA21624T148364
JHE186,GMC,Canyon,2011,136387,19,Mauv,WBA3C3C50EP287414
YWR781,Pontiac,G8,2009,120397,20,Crimson,3D73M3CL8AG808981
XBP228,Suzuki,Grand Vitara,2002,50336,22,Red,JHMGE8G22AC839068
PML566,Chevrolet,Corvette,2007,179539,14,Khaki,JN8AF5MRXCT726206
RAG901,Lincoln,MKX,2007,86549,14,Orange,3FAHP0DC2AR176333
XZO922,Dodge,Ram 1500,2001,108016,20,Crimson,SALGS2TF6FA090450
ZAZ559,Chevrolet,G-Series G10,1992,49022,20,Pink,JH4CL95915C848828
MWS760,Ford,Club Wagon,1995,78096,17,Indigo,1G6DL67A490781387
HEO083,Audi,A6,1998,175421,18,Purple,JN8AF5MR9DT186316
XSP074,Ford,F350,1996,99214,17,Maroon,4T1BF1FK6EU006399
UFH478,Ford,Escape,2012,27456,19,Orange,1N6AD0CU3AC459592
ZNN018,Pontiac,Grand Am,1991,154572,21,Orange,2HKRM3H38EH912445
OUO583,Dodge,Avenger,1999,180041,18,Indigo,2GKALMEKXE6241273
HLN068,Mercury,Milan,2011,111641,21,Puce,JN1CV6EK7DM359147
XGH784,Pontiac,Grand Prix,1985,66173,21,Pink,3VW467AT4DM865118
LBN653,Ferrari,458 Italia,2011,13273,14,Fuscia,SALME1D40AA443453
PVM497,Nissan,Murano,2010,7192,16,Goldenrod,1G4GD5G38FF952049
LHC058,Subaru,Legacy,1990,119520,20,Indigo,WAUPN44E67N991115
DXR696,Toyota,Sienna,2003,137621,21,Orange,1GD021EG2FZ003519
BBQ236,Ford,Club Wagon,1996,100502,14,Aquamarine,5FRYD4H42FB262228
CMR758,Mercedes-Benz,SL-Class,2004,278249,22,Violet,2C3CDZFJ8FH479119